Age,Income,SpendingScore,savings
58,77769,0.791328777,6559.829923
59,81799,0.791082047,5417.661426
62,74751,0.702656952,9258.992965
59,74373,0.765679562,7346.334504
87,17760,0.348777548,16869.50713
29,131578,0.847034103,3535.514352
54,76500,0.78519785,6878.884249
87,42592,0.355289682,18086.28716
83,34384,0.324718682,14783.37909
84,27693,0.367062973,17879.55891
85,111389,0.036795362,16009.23776
36,99780,0.265432607,16398.40133
30,99949,0.344679224,13621.63973
31,107963,0.290508633,13407.08139
61,71933,0.844106797,8022.208541
92,122879,0.060724035,13709.67027
55,71621,0.753342684,7780.589914
87,31481,0.317423971,16180.68808
82,33636,0.371782979,17866.8336
88,120678,0.063272851,14264.47385
30,101073,0.31438712,14324.55598
84,122696,0.082186832,13809.73409
53,76667,0.76005765,5168.225475
91,22672,0.271064535,15407.64676
89,119697,0.091679202,16215.39908
30,122788,0.872872406,5706.149573
17,134966,0.907242175,4128.044796
55,78761,0.827174199,8376.749478
90,37503,0.357788314,17258.57497
61,76955,0.777117565,7467.036702
59,65700,0.811471174,6932.487932
59,69738,0.742112122,7151.650866
88,17851,0.289865985,17472.47069
56,63866,0.761887958,7762.255067
33,101058,0.31508155,14911.8684
61,74117,0.77021406,5103.60923
84,20704,0.379496315,16816.9119
61,63846,0.827862241,7283.504773
39,100540,0.384922983,16741.01389
31,111449,0.294106203,13929.62155
60,70012,0.794461051,7263.242448
87,23042,0.366312011,18149.03587
20,129142,0.887051994,5603.121028
57,75332,0.721502438,6845.056822
61,73245,0.811160373,7413.784487
18,130813,0.890891247,5256.43456
83,119429,0.042154801,15607.56154
25,138021,0.944017176,3005.577482
31,101481,0.270235051,15226.61413
55,74356,0.79982697,6484.630738
84,18244,0.292663374,17815.34841
36,98137,0.297401293,15978.33284
27,121468,0.920648988,5011.112062
91,24370,0.296328571,16141.04898
53,62117,0.733138848,7500.452414
91,26917,0.37671353,17986.61864
25,101503,0.288468856,15026.26215
83,28727,0.308263042,18205.33626
87,23322,0.306821197,16131.26766
90,33188,0.248810069,15866.91394
83,33170,0.241077744,16620.01047
83,23206,0.321240363,16870.672
83,30721,0.331141808,17705.99239
61,69001,0.821668775,5074.121212
64,60493,0.768056348,7708.112609
62,69741,0.846219602,5781.658047
91,25886,0.301753768,17266.04573
28,123153,0.984240786,3697.513645
23,126500,0.865032859,3270.150434
55,71056,0.756589712,7464.163257
58,74340,0.735165045,7259.540922
31,110882,0.325280607,14004.61374
83,34529,0.317207511,16517.20875
91,36991,0.268597905,19047.77234
30,107302,0.239677178,13993.24402
57,79470,0.773435296,6773.04909
33,98033,0.309511116,15774.69061
59,72588,0.801715698,6300.843757
58,77101,0.766719584,8148.491848
29,122264,0.898578844,2494.556274
59,74576,0.781296124,10547.77537
84,114406,0.123838375,16840.57058
64,88361,0.774556226,7240.759687
87,26045,0.375292123,15903.55836
88,33303,0.399715686,15232.59807
35,104678,0.327992858,15422.0558
34,104284,0.344545412,13541.80177
58,70798,0.753528387,5330.7399
56,86484,0.732123369,8777.496177
63,85761,0.800597911,7175.090219
58,70259,0.769712917,7101.674514
60,79969,0.812104913,4879.334873
24,136644,0.871697684,1617.2257
94,28352,0.376875735,16798.88611
58,69879,0.720998687,6669.033518
25,130934,0.913766019,3942.389134
36,101811,0.340666795,15048.89961
62,73480,0.73919498,6277.675151
66,72571,0.811548337,6509.411506
37,110595,0.286648505,15235.44546
27,106758,0.266294709,14942.56072
24,130974,0.911838602,4420.07271
31,116247,0.294315138,16178.20472
23,120226,0.881912966,4698.294711
34,98752,0.37203371,14975.38424
88,28802,0.408387832,16293.03833
89,24520,0.443832707,13556.93588
32,110439,0.306990158,13873.50757
38,115146,0.314490073,14798.86815
57,76594,0.790657855,6584.654681
90,33259,0.377571058,15315.0285
33,99637,0.228217077,15139.40314
66,64866,0.766594189,5037.899139
35,102308,0.275137218,14874.55799
31,104388,0.286473232,14406.56125
35,101691,0.349111018,14152.67169
63,72815,0.820035974,5504.385544
30,108928,0.303863615,14339.65292
22,120525,1,5495.165732
84,29492,0.33360314,17954.09506
28,97965,0.313491561,14981.4022
88,26092,0.312873207,17105.79393
84,42018,0.297993602,16148.37045
88,34001,0.337569324,15530.93413
35,107131,0.242473155,16200.01301
82,121642,0.05465319,14177.51332
64,71692,0.842652145,7002.976554
91,29082,0.282488521,18794.48817
62,63596,0.745327194,6142.201619
62,62650,0.766572365,7533.673609
34,107255,0.328343029,15130.59523
60,71436,0.832059099,8557.860126
32,102035,0.262070356,14209.9328
65,65736,0.778568766,6387.219694
24,127352,0.905452159,2961.716874
88,28409,0.305653534,17326.17561
82,126257,0.078096194,15816.10192
26,126617,0.877052105,2913.368147
60,70663,0.715339697,7557.937594
31,107115,0.328042086,15693.49957
85,34634,0.36900017,16719.81588
63,80705,0.762669953,5154.330635
56,84386,0.78494507,7270.419534
28,121216,0.856969282,5349.065447
58,75757,0.809794417,7390.577293
26,127320,0.825029805,5495.642138
62,71050,0.735356851,6988.197368
86,128378,0.12608341,13585.77862
56,68698,0.71626785,7070.967007
91,30148,0.277388947,15324.28741
59,67781,0.722548349,6701.527665
28,111937,0.25373473,13669.11063
85,28401,0.369437137,15990.49413
65,66017,0.786189259,6159.662936
94,20719,0.33640227,16281.83227
86,115689,0.057842956,14803.15327
30,106350,0.369416286,14863.23359
62,80093,0.690916781,6756.749073
